step,event_type,details
167,birth,new frog
167,birth,new frog
168,birth,new frog
170,birth,new frog
171,birth,new frog
171,birth,new frog
172,birth,new frog
172,birth,new frog
172,birth,new frog
172,birth,new frog
172,birth,new frog
173,death,frog died
177,death,frog died
177,predator_kill,frog eaten
177,death,frog died
179,death,frog died
180,death,frog died
182,death,frog died
183,death,frog died
186,predator_kill,frog eaten
186,death,frog died
190,death,frog died
190,predator_kill,frog eaten
190,death,frog died
194,predator_kill,frog eaten
194,death,frog died
195,predator_kill,frog eaten
195,death,frog died
