step,event_type,details
61,death,frog died
62,death,frog died
63,death,frog died
65,death,frog died
65,predator_kill,frog eaten
65,death,frog died
66,death,frog died
67,death,frog died
67,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,predator_kill,frog eaten
68,death,frog died
68,predator_kill,frog eaten
68,death,frog died
69,predator_kill,frog eaten
69,death,frog died
70,death,frog died
72,death,frog died
72,death,frog died
73,death,frog died
73,death,frog died
75,predator_kill,frog eaten
75,death,frog died
75,death,frog died
78,death,frog died
78,death,frog died
78,predator_kill,frog eaten
78,death,frog died
79,death,frog died
79,death,frog died
79,death,frog died
79,death,frog died
79,death,frog died
79,death,frog died
79,death,frog died
80,predator_kill,frog eaten
80,death,frog died
80,death,frog died
80,death,frog died
80,death,frog died
80,death,frog died
80,death,frog died
81,death,frog died
81,death,frog died
81,death,frog died
81,death,frog died
82,death,frog died
83,death,frog died
83,death,frog died
83,death,frog died
83,death,frog died
83,death,frog died
84,death,frog died
84,death,frog died
84,death,frog died
84,death,frog died
84,death,frog died
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,death,frog died
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,death,frog died
85,death,frog died
85,death,frog died
85,death,frog died
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,death,frog died
86,death,frog died
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,death,frog died
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,death,frog died
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
89,predator_kill,frog eaten
89,birth,new frog
89,death,frog died
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,death,frog died
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,death,frog died
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,predator_kill,frog eaten
91,death,frog died
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,death,frog died
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,death,frog died
92,predator_kill,frog eaten
92,death,frog died
92,predator_kill,frog eaten
92,death,frog died
92,predator_kill,frog eaten
92,death,frog died
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,predator_kill,frog eaten
95,death,frog died
95,predator_kill,frog eaten
95,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,death,frog died
96,death,frog died
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,predator_kill,frog eaten
96,death,frog died
96,predator_kill,frog eaten
96,death,frog died
97,death,frog died
97,death,frog died
97,death,frog died
98,death,frog died
98,death,frog died
98,predator_kill,frog eaten
98,death,frog died
98,predator_kill,frog eaten
98,death,frog died
99,death,frog died
99,death,frog died
101,predator_kill,frog eaten
101,death,frog died
101,predator_kill,frog eaten
101,death,frog died
101,predator_kill,frog eaten
101,death,frog died
101,death,frog died
102,predator_kill,frog eaten
102,death,frog died
102,predator_kill,frog eaten
102,death,frog died
103,predator_kill,frog eaten
