Run ID,Seed,Initial Pop,Final Pop,Attack Prob,Food Regen,Max Pop,Total Births,Total Deaths,Total Predator Kills,Total Steps,Avg Pop,Avg Energy,Growth Rate,Final Growth Rate
pop_150_s42,42,150,66,0.01,15,211,577,661,165,200,95.675,21.752,0.0036,-0.2235
pop_150_s43,43,150,17,0.01,15,213,564,697,157,200,93.915,22.4756,-0.004,0.0
pop_150_s44,44,150,77,0.01,15,205,631,704,152,200,98.025,26.3739,0.0072,-0.1149
pop_150_s45,45,150,18,0.01,15,199,565,697,149,200,88.635,27.0427,0.0006,0.0
pop_150_s46,46,150,16,0.01,15,202,532,666,126,200,78.915,27.5532,-0.0013,0.0
scenario_balanced_001_s42,42,50,57,0.02,15,129,504,497,216,200,59.28,32.1591,0.0109,0.0
scenario_balanced_001_s43,43,50,14,0.02,15,121,509,545,145,200,52.44,33.8878,0.0048,0.0
scenario_balanced_001_s44,44,50,17,0.02,15,116,467,500,180,200,48.965,35.5343,0.0048,0.0
scenario_balanced_001_s45,45,50,17,0.02,15,134,503,536,198,200,56.9,31.3172,0.0048,0.0
scenario_balanced_001_s46,46,50,49,0.02,15,131,546,547,257,200,75.88,22.1495,0.0049,-0.1091
scenario_drought_001_s42,42,50,19,0.02,5,66,155,186,90,200,26.95,20.7795,0.0017,-0.0952
scenario_drought_001_s43,43,50,5,0.02,5,67,159,204,68,200,22.355,33.8294,0.0032,0.0
scenario_drought_001_s44,44,50,20,0.02,5,71,168,198,96,200,27.185,22.3582,0.0024,0.0
scenario_drought_001_s45,45,50,6,0.02,5,75,159,203,70,200,23.14,28.8366,0.0013,0.0
scenario_drought_001_s46,46,50,13,0.02,5,70,160,197,89,200,27.025,21.4068,0.0023,-0.0714
scenario_preddom_001_s42,42,50,8,0.05,15,91,399,441,299,200,42.04,30.6078,0.0006,0.0
scenario_preddom_001_s43,43,50,9,0.05,15,107,409,450,309,200,41.98,33.9464,0.0015,-0.1
scenario_preddom_001_s44,44,50,13,0.05,15,106,435,472,319,200,41.275,35.0341,0.0058,-0.0714
scenario_preddom_001_s45,45,50,16,0.05,15,108,377,411,310,200,41.14,30.6447,0.0021,-0.0588
scenario_preddom_001_s46,46,50,19,0.05,15,118,430,461,378,200,48.52,25.9437,0.002,-0.0952
scenario_resabun_001_s42,42,50,38,0.005,30,285,1154,1166,98,200,133.525,31.4265,0.0097,0.0
scenario_resabun_001_s43,43,50,34,0.005,30,297,1237,1253,117,200,134.95,34.0674,0.0122,-0.0556
scenario_resabun_001_s44,44,50,39,0.005,30,324,1304,1315,149,200,168.31,27.4009,0.011,0.0
scenario_resabun_001_s45,45,50,33,0.005,30,317,1262,1279,143,200,150.62,31.2564,0.0095,-0.0294
scenario_resabun_001_s46,46,50,34,0.005,30,307,1274,1290,131,200,164.25,27.6491,0.0102,0.0
