Group,Metric,N,Mean,Std Dev,Min,Max,CI Low,CI High
scenario_drought,Avg Pop,5,25.331,2.1253,22.355,27.185,23.4681,27.1939
scenario_drought,Total Deaths,5,197.6,6.4062,186.0,204.0,191.9847,203.2153
scenario_drought,Growth Rate,5,0.0022,0.0006,0.0013,0.0032,0.0016,0.0027
scenario_preddom,Final Pop,5,13.0,4.1473,8.0,19.0,9.3647,16.6353
scenario_preddom,Max Pop,5,106.0,8.6487,91.0,118.0,98.4191,113.5809
scenario_preddom,Avg Pop,5,42.991,2.7881,41.14,48.52,40.5471,45.4349
scenario_preddom,Total Deaths,5,447.0,20.7942,411.0,472.0,428.7731,465.2269
scenario_preddom,Growth Rate,5,0.0024,0.0018,0.0006,0.0058,0.0008,0.004
scenario_resabun,Final Pop,5,35.6,2.4166,33.0,39.0,33.4817,37.7183
scenario_resabun,Max Pop,5,306.0,13.914,285.0,324.0,293.8038,318.1962
scenario_resabun,Avg Pop,5,150.331,14.395,133.525,168.31,137.7132,162.9488
scenario_resabun,Total Deaths,5,1260.6,51.321,1166.0,1315.0,1215.6152,1305.5848
scenario_resabun,Growth Rate,5,0.0105,0.001,0.0095,0.0122,0.0097,0.0114
