step,event_type,details
146,death,frog died
147,predator_kill,frog eaten
147,death,frog died
148,death,frog died
150,death,frog died
151,predator_kill,frog eaten
151,death,frog died
151,predator_kill,frog eaten
151,death,frog died
151,death,frog died
151,predator_kill,frog eaten
151,death,frog died
153,death,frog died
153,death,frog died
154,death,frog died
154,death,frog died
154,death,frog died
154,predator_kill,frog eaten
154,death,frog died
155,death,frog died
155,death,frog died
155,death,frog died
155,death,frog died
155,death,frog died
155,death,frog died
156,death,frog died
156,death,frog died
156,death,frog died
156,death,frog died
156,predator_kill,frog eaten
156,death,frog died
157,death,frog died
157,death,frog died
157,death,frog died
157,death,frog died
158,predator_kill,frog eaten
158,death,frog died
158,death,frog died
158,death,frog died
158,death,frog died
158,death,frog died
158,death,frog died
158,death,frog died
159,death,frog died
165,birth,new frog
165,birth,new frog
165,birth,new frog
166,birth,new frog
166,birth,new frog
167,birth,new frog
167,birth,new frog
167,birth,new frog
168,birth,new frog
168,birth,new frog
168,birth,new frog
169,birth,new frog
169,birth,new frog
169,birth,new frog
169,birth,new frog
170,birth,new frog
170,birth,new frog
170,birth,new frog
170,death,frog died
171,birth,new frog
171,birth,new frog
171,birth,new frog
171,birth,new frog
171,birth,new frog
172,birth,new frog
172,birth,new frog
172,birth,new frog
173,birth,new frog
173,birth,new frog
173,birth,new frog
174,birth,new frog
174,birth,new frog
175,birth,new frog
175,birth,new frog
175,birth,new frog
176,death,frog died
176,birth,new frog
176,birth,new frog
176,birth,new frog
176,birth,new frog
176,birth,new frog
177,death,frog died
177,predator_kill,frog eaten
177,death,frog died
178,death,frog died
179,death,frog died
179,death,frog died
179,death,frog died
179,predator_kill,frog eaten
179,death,frog died
180,predator_kill,frog eaten
180,death,frog died
180,death,frog died
182,death,frog died
183,death,frog died
184,death,frog died
184,death,frog died
184,death,frog died
185,predator_kill,frog eaten
185,death,frog died
185,death,frog died
185,death,frog died
185,death,frog died
186,death,frog died
186,death,frog died
186,death,frog died
186,death,frog died
187,death,frog died
188,death,frog died
188,death,frog died
188,death,frog died
189,death,frog died
189,death,frog died
189,death,frog died
190,death,frog died
190,death,frog died
190,death,frog died
191,death,frog died
191,death,frog died
191,death,frog died
191,death,frog died
195,death,frog died
