Timestamp,Step,Population,Births,Deaths,Food Level,Predator Kills
2026-03-25T20:10:13.311935,98,0,0,0,100,0
2026-03-25T20:10:13.311935,99,0,0,0,100,0
2026-03-25T20:10:13.311935,100,0,0,0,100,0
2026-03-25T20:10:13.311935,101,0,0,0,100,0
2026-03-25T20:10:13.311935,102,0,0,0,100,0
2026-03-25T20:10:13.311935,103,0,0,0,100,0
2026-03-25T20:10:13.311935,104,0,0,0,100,0
2026-03-25T20:10:13.311935,105,0,0,0,100,0
2026-03-25T20:10:13.311935,106,0,0,0,100,0
2026-03-25T20:10:13.311935,107,0,0,0,100,0
2026-03-25T20:10:13.311935,108,0,0,0,100,0
2026-03-25T20:10:13.311935,109,0,0,0,100,0
2026-03-25T20:10:13.311935,110,0,0,0,100,0
2026-03-25T20:10:13.311935,111,0,0,0,100,0
2026-03-25T20:10:13.311935,112,0,0,0,100,0
2026-03-25T20:10:13.311935,113,0,0,0,100,0
2026-03-25T20:10:13.311935,114,0,0,0,90,0
2026-03-25T20:10:13.311935,115,0,0,0,100,0
2026-03-25T20:10:13.311935,116,0,0,0,100,0
2026-03-25T20:10:13.311935,117,0,0,0,90,0
2026-03-25T20:10:13.311935,118,0,0,0,100,0
2026-03-25T20:10:13.311935,119,0,0,0,100,0
2026-03-25T20:10:13.311935,120,0,0,0,100,0
2026-03-25T20:10:13.311935,121,0,0,0,100,0
2026-03-25T20:10:13.311935,122,0,0,0,100,0
2026-03-25T20:10:13.311935,123,0,0,0,100,0
2026-03-25T20:10:13.311935,124,0,0,0,100,0
2026-03-25T20:10:13.311935,125,0,0,0,100,0
2026-03-25T20:10:13.311935,126,0,0,0,100,0
2026-03-25T20:10:13.311935,127,0,0,0,100,0
2026-03-25T20:10:13.311935,128,0,0,0,100,0
2026-03-25T20:10:13.311935,129,0,0,0,100,0
2026-03-25T20:10:13.311935,130,0,0,0,100,0
2026-03-25T20:10:13.311935,131,0,0,0,100,0
2026-03-25T20:10:13.311935,132,0,0,0,100,0
2026-03-25T20:10:13.311935,133,0,0,0,100,0
2026-03-25T20:10:13.311935,134,0,0,0,90,0
2026-03-25T20:10:13.311935,135,0,0,0,100,0
2026-03-25T20:10:13.311935,136,0,0,0,100,0
2026-03-25T20:10:13.311935,137,0,0,0,100,0
2026-03-25T20:10:13.311935,138,0,0,0,100,0
2026-03-25T20:10:13.311935,139,0,0,0,100,0
2026-03-25T20:10:13.311935,140,0,0,0,100,0
2026-03-25T20:10:13.311935,141,0,0,0,100,0
2026-03-25T20:10:13.311935,142,0,0,0,100,0
2026-03-25T20:10:13.311935,143,0,0,0,90,0
2026-03-25T20:10:13.311935,144,0,0,0,100,0
2026-03-25T20:10:13.311935,145,0,0,0,100,0
2026-03-25T20:10:13.311935,146,0,0,0,90,0
2026-03-25T20:10:13.311935,147,0,0,0,100,0
2026-03-25T20:10:13.311935,148,0,0,0,100,0
2026-03-25T20:10:13.311935,149,0,0,0,100,0
2026-03-25T20:10:13.311935,150,0,0,0,90,0
2026-03-25T20:10:13.311935,151,0,0,0,100,0
2026-03-25T20:10:13.311935,152,0,0,0,90,0
2026-03-25T20:10:13.311935,153,0,0,0,100,0
2026-03-25T20:10:13.311935,154,0,0,0,100,0
2026-03-25T20:10:13.311935,155,0,0,0,100,0
2026-03-25T20:10:13.311935,156,0,0,0,90,0
2026-03-25T20:10:13.311935,157,0,0,0,100,0
2026-03-25T20:10:13.311935,158,0,0,0,100,0
2026-03-25T20:10:13.311935,159,0,0,0,100,0
2026-03-25T20:10:13.311935,160,0,0,0,100,0
2026-03-25T20:10:13.311935,161,0,0,0,100,0
2026-03-25T20:10:13.311935,162,0,0,0,100,0
2026-03-25T20:10:13.311935,163,0,0,0,90,0
2026-03-25T20:10:13.311935,164,0,0,0,100,0
2026-03-25T20:10:13.311935,165,0,0,0,100,0
2026-03-25T20:10:13.311935,166,0,0,0,100,0
2026-03-25T20:10:13.311935,167,0,0,0,100,0
2026-03-25T20:10:13.311935,168,0,0,0,100,0
2026-03-25T20:10:13.311935,169,0,0,0,100,0
2026-03-25T20:10:13.311935,170,0,0,0,100,0
2026-03-25T20:10:13.311935,171,0,0,0,100,0
2026-03-25T20:10:13.311935,172,0,0,0,100,0
2026-03-25T20:10:13.311935,173,0,0,0,100,0
2026-03-25T20:10:13.311935,174,0,0,0,100,0
2026-03-25T20:10:13.311935,175,0,0,0,100,0
2026-03-25T20:10:13.311935,176,0,0,0,100,0
2026-03-25T20:10:13.311935,177,0,0,0,100,0
2026-03-25T20:10:13.311935,178,0,0,0,100,0
2026-03-25T20:10:13.311935,179,0,0,0,100,0
2026-03-25T20:10:13.311935,180,0,0,0,100,0
2026-03-25T20:10:13.311935,181,0,0,0,100,0
2026-03-25T20:10:13.311935,182,0,0,0,100,0
2026-03-25T20:10:13.311935,183,0,0,0,100,0
2026-03-25T20:10:13.311935,184,0,0,0,90,0
2026-03-25T20:10:13.311935,185,0,0,0,100,0
2026-03-25T20:10:13.311935,186,0,0,0,100,0
2026-03-25T20:10:13.311935,187,0,0,0,100,0
2026-03-25T20:10:13.311935,188,0,0,0,90,0
2026-03-25T20:10:13.311935,189,0,0,0,100,0
2026-03-25T20:10:13.311935,190,0,0,0,100,0
2026-03-25T20:10:13.311935,191,0,0,0,100,0
2026-03-25T20:10:13.311935,192,0,0,0,100,0
2026-03-25T20:10:13.311935,193,0,0,0,100,0
2026-03-25T20:10:13.311935,194,0,0,0,100,0
2026-03-25T20:10:13.311935,195,0,0,0,100,0
2026-03-25T20:10:13.311935,196,0,0,0,100,0
2026-03-25T20:10:13.311935,197,0,0,0,100,0
2026-03-25T20:10:13.311935,198,0,0,0,90,0
2026-03-25T20:10:13.311935,199,0,0,0,100,0
